OM,w,wa,Ode,Ok
0.31076598425758817,-0.8203589841326194,0.4633641817108396,0.6892340157424118,0.0
0.40009266739024696,-0.39158173413465514,-1.5966527726033504,0.599907332609753,0.0
0.31555955223053805,-0.9629660928989314,-0.19382054683956995,0.6844404477694619,0.0
0.3220112575849138,-0.9760137411869493,0.15853957596525126,0.6779887424150862,0.0
0.2732383748702591,-1.1185840954884307,1.0610072868582765,0.7267616251297409,0.0
0.38463633578690143,-0.5524677532415145,-0.9652858931141335,0.6153636642130986,0.0
0.31076598425758817,-0.8203589841326194,0.4633641817108396,0.6892340157424118,0.0
0.40009266739024696,-0.39158173413465514,-1.5966527726033504,0.599907332609753,0.0
0.3195860669607675,-0.9357496874365233,-0.2606408055086922,0.6804139330392325,0.0
0.3220112575849138,-0.9760137411869493,0.15853957596525126,0.6779887424150862,0.0
0.2732383748702591,-1.1185840954884307,1.0610072868582765,0.7267616251297409,0.0
0.4070044227408318,-0.40118788646362125,-1.3666878000679432,0.5929955772591682,0.0
0.32651105661577096,-0.7447810203036649,0.10025749435527209,0.673488943384229,0.0
0.4021415706787796,-0.3506991293641842,-1.796079301840583,0.5978584293212204,0.0
0.35257486416377665,-0.7340237376927747,-0.6780263725892588,0.6474251358362233,0.0
0.3220112575849138,-0.9760137411869493,0.15853957596525126,0.6779887424150862,0.0
0.2819437959638711,-1.072463160071535,0.8988708222794259,0.7180562040361289,0.0
0.3963443057732389,-0.4663743255578896,-1.2318123470987739,0.603655694226761,0.0
0.31161888102714913,-0.8542761943686301,0.3671145937797382,0.6883811189728508,0.0
0.37870229493696694,-0.4531306203865567,-1.7074968684974818,0.6212977050630331,0.0
0.31152057258843935,-1.051517502051732,0.24801600911004762,0.6884794274115607,0.0
0.32389562553110723,-0.9980874535661711,0.12072030760428218,0.6761043744688928,0.0
0.2819437959638711,-1.072463160071535,0.8988708222794259,0.7180562040361289,0.0
0.4326828747233991,-0.21723121228697928,-1.9115019394486965,0.5673171252766009,0.0
0.31161888102714913,-0.8542761943686301,0.3671145937797382,0.6883811189728508,0.0
0.362633199630547,-0.5962578802341878,-1.2397606791781925,0.637366800369453,0.0
0.2982449841890928,-1.1697630257872436,0.6344393273164517,0.7017550158109072,0.0
