# zl, zs1, zs2, rein1, rein2, beta, betaerr, SN1, SN2, mag1, mag2, sigma_v_km_s
# Warning: oversampling is by a factor of 1
5.510000000000000453e-01 1.147999999999999909e+00 1.810000000000000053e+00 5.410000000000000364e-01 7.179999999999999716e-01 7.530999999999999917e-01 1.899999999999999953e-02 2.519200000000000017e+01 3.309400000000000119e+01 1.191499999999999915e+01 3.827999999999999847e+00 2.075036365670310090e+02
5.859999999999999654e-01 1.048999999999999932e+00 1.489999999999999991e+00 1.048000000000000043e+00 1.431999999999999940e+00 7.318999999999999950e-01 1.129999999999999928e-02 3.029899999999999949e+01 3.934300000000000352e+01 3.077999999999999847e+00 2.248300000000000054e+01 3.149773743136530584e+02
8.999999999999999667e-02 6.850000000000000533e-01 1.056999999999999940e+00 1.469999999999999973e+00 1.546000000000000041e+00 9.510999999999999455e-01 1.299999999999999940e-02 2.892599999999999838e+01 2.411899999999999977e+01 5.158999999999999808e+00 3.116999999999999993e+00 2.454563793512836014e+02
1.016999999999999904e+00 1.659000000000000030e+00 2.980999999999999872e+00 4.179999999999999827e-01 7.049999999999999600e-01 5.927000000000000046e-01 1.750000000000000167e-02 2.382799999999999940e+01 2.080699999999999861e+01 1.463400000000000034e+01 3.593999999999999861e+00 2.281553401820003728e+02
3.190000000000000058e-01 1.141000000000000014e+00 1.721999999999999975e+00 7.119999999999999662e-01 8.010000000000000453e-01 8.885999999999999455e-01 1.890000000000000013e-02 2.134600000000000009e+01 2.071799999999999997e+01 3.302999999999999936e+00 6.783999999999999808e+00 1.948067095108457920e+02
7.449999999999999956e-01 1.489999999999999991e+00 1.887000000000000011e+00 8.750000000000000000e-01 1.054000000000000048e+00 8.303000000000000380e-01 1.490000000000000005e-02 2.033500000000000085e+01 2.164099999999999824e+01 3.854000000000000092e+00 1.587599999999999945e+01 2.782519588973149212e+02
5.440000000000000391e-01 7.319999999999999840e-01 8.409999999999999698e-01 4.339999999999999969e-01 5.969999999999999751e-01 7.271999999999999575e-01 2.199999999999999872e-02 3.414099999999999824e+01 7.297199999999999420e+01 5.733999999999999986e+00 6.158000000000000362e+00 2.631055470157971854e+02
7.399999999999999911e-01 2.342999999999999972e+00 2.525999999999999801e+00 9.699999999999999734e-01 1.000999999999999890e+00 9.687999999999999945e-01 1.689999999999999836e-02 2.385000000000000142e+01 4.713499999999999801e+01 4.142000000000000348e+00 7.458999999999999631e+00 2.511924106788070503e+02
6.520000000000000240e-01 1.054000000000000048e+00 1.153999999999999915e+00 5.090000000000000080e-01 5.789999999999999591e-01 8.787000000000000366e-01 2.460000000000000034e-02 5.597099999999999653e+01 4.214000000000000057e+01 1.365700000000000003e+01 7.089000000000000412e+00 2.386211917494055115e+02
5.769999999999999574e-01 8.259999999999999565e-01 9.779999999999999805e-01 5.649999999999999467e-01 7.670000000000000151e-01 7.369999999999999885e-01 1.779999999999999985e-02 5.370900000000000318e+01 2.877799999999999869e+01 4.381999999999999673e+00 3.177000000000000046e+00 2.788199007291523799e+02
4.040000000000000258e-01 6.119999999999999885e-01 2.697000000000000064e+00 4.179999999999999827e-01 1.024999999999999911e+00 4.072999999999999954e-01 1.129999999999999928e-02 3.187300000000000111e+01 2.592200000000000060e+01 2.094699999999999918e+01 3.742999999999999883e+00 2.193617415076048474e+02
5.839999999999999636e-01 1.108000000000000096e+00 1.260000000000000009e+00 9.899999999999999911e-01 1.120000000000000107e+00 8.833999999999999631e-01 1.480000000000000066e-02 2.574699999999999989e+01 4.996699999999999875e+01 7.036999999999999922e+00 5.022999999999999687e+00 2.958077373020365712e+02
1.419999999999999873e-01 7.600000000000000089e-01 9.370000000000000551e-01 2.375000000000000000e+00 2.474000000000000199e+00 9.596999999999999975e-01 1.110000000000000049e-02 4.857500000000000284e+01 3.904699999999999704e+01 3.044000000000000039e+00 5.524000000000000021e+00 3.250690465487962797e+02
6.310000000000000053e-01 9.619999999999999662e-01 1.062999999999999945e+00 5.090000000000000080e-01 5.999999999999999778e-01 8.486000000000000210e-01 2.350000000000000006e-02 2.498400000000000176e+01 3.448899999999999721e+01 3.911999999999999922e+00 5.411999999999999922e+00 2.501761970006952538e+02
2.680000000000000160e-01 5.749999999999999556e-01 2.815999999999999837e+00 5.739999999999999547e-01 9.569999999999999618e-01 5.997000000000000108e-01 1.359999999999999924e-02 2.285200000000000031e+01 2.055600000000000094e+01 9.506999999999999673e+00 3.790000000000000036e+00 2.008171541221940117e+02
7.079999999999999627e-01 2.209999999999999964e+00 3.205000000000000071e+00 1.080999999999999961e+00 1.233999999999999986e+00 8.759000000000000119e-01 1.389999999999999916e-02 2.427700000000000102e+01 2.269200000000000017e+01 9.849999999999999645e+00 3.286999999999999922e+00 2.645933449289070722e+02
