,zl,z_host,tmax
26848,0.1465702829804977,0.66531515,26.12354672263038
21797,0.2666918958389828,1.2029775,3.5862122027541123
14085,0.3477993631835925,0.91151035,47.21077086462604
24756,0.6366098245962397,1.6293523,18.31046967509896
31986,0.2107504805287241,0.75204164,18.397024641659986
31446,0.2452951373659993,0.9531347,42.16472821651158
11061,0.2558323388433442,0.73159236,12.778108285291395
23062,0.382442221713016,0.83363396,46.49699361967533
5237,0.1054865912469723,0.78689665,6.992638901679395
20763,0.1682153120157025,0.63193876,50.7026668891807
9891,0.1971930897201844,0.47534952,17.027260519877515
3147,0.2847697765067299,0.6822791,35.105900040091406
2531,0.7164466994465816,0.9930288,57.307405604935326
23056,0.3514898464513665,0.86866575,28.511583532473075
21851,0.1706295386643718,0.64321905,13.597007617476274
28312,0.2943415043772164,0.7316331,20.520100847447125
6743,0.4674671776926374,1.2299045,28.496450898736512
32103,0.4027952039360667,0.7657227,92.23004641762977
29139,0.0835681222802109,0.44155592,23.841020190490752
18356,0.272979081984928,0.7053936,163.7117955619848
16029,0.4019831393180985,0.6164504,56.17268966024702
19794,0.4019831393180985,0.8077967,84.26410931379938
22820,0.0406604166805752,0.98179454,1.0786960610020766
15746,0.1954884409095056,0.69724184,140.68626687667282
18151,0.256209572981454,0.5191868,45.04804299504919
26363,0.5037819962392706,0.9378683,65.14977843978693
3083,0.341139017068284,1.1282929,9.567477014013209
25970,0.1449419208588827,0.53085446,68.7302318101483
17885,0.1177107337672409,0.5431008,5.676723880260612
27158,0.5103071960710297,1.1671586,37.80494426386285
19404,0.3674085030463404,0.9056879,7.122642474215258
13234,0.2234851588186224,0.8052871,53.264750069370905
17896,0.7243765194876615,1.3935308,25.38135757192663
2678,0.0749964171500896,0.782968,25.32197563894496
15061,0.2931113805408956,0.6484594,38.16333641225277
