,zl,z_host,tmax
30890,0.3789404833110956,0.90760434,12.578431864994483
16104,0.359897850668191,0.8557227,18.66061020816145
32282,0.1704094958085545,0.58430725,146.10052958456228
33531,0.1704094958085545,0.68173504,120.19659139331412
3311,0.3651931953625956,1.1643839,22.016948409492187
15106,0.4191277726437855,0.86008245,125.31953831746468
1405,0.1274444715802808,0.74273956,37.489156816864615
28746,0.0464961899915507,0.28750634,9.520323836077807
22942,0.4974320285530101,0.7534359,96.90952059628152
14243,0.1154712796158872,1.0254365,17.395316486527967
17899,0.4867626928187043,0.8635897,125.72572240721912
32705,0.2555033859884683,1.1501628,10.337486634765137
30416,0.43511520353338,0.7356037,24.340511804477813
32422,0.599368920271703,1.0675586,21.22207837867137
17126,0.4968118746520442,0.7528363,214.99127982428692
4108,0.2746524367816649,0.80683947,40.79207078148512
7905,0.4095476340481982,0.7853483,5.990411921919378
21267,0.272979081984928,0.6820882,95.58946599515808
15136,0.1706295386643718,0.5417658,6.053399597015437
6484,0.1877196007426023,0.46013442,3.0023606950524573
23610,0.4417833679793245,0.7286446,40.12474691015224
13112,0.4208354127429091,0.78611547,25.631700197716075
7144,0.256209572981454,0.5950811,46.281176349172455
8337,0.2089433998668969,1.5413667,3.951935361540074
8884,0.0397621492801613,0.72762173,2.3963400179991377
31614,0.3341347240578707,0.8064163,24.96852145162037
11549,0.1988181832394364,0.8898191,375.8007334126373
10027,0.1619584979450481,0.7842796,10.616944450549212
26473,0.0749964171500896,0.47635946,14.459825510751733
32608,0.1465702829804977,0.9124504,63.79166417551901
16890,0.1686090715838558,0.3709923,21.16604361933856
28683,0.5556941436005213,1.1703961,71.95603698591121
17347,0.3578260644657492,1.1951537,29.68823323391999
20475,0.3330848473564222,0.7338156,80.60468749013584
7793,0.4868740965494091,0.9083911,11.569326498574604
2240,0.3725983610067649,0.9080386,19.36986754350056
5979,0.2452951373659993,0.62876093,79.56936860047028
25364,0.2866636456682631,0.7908532,19.56678922851538
21943,0.3809041996032046,0.8536488,93.8599177509011
20835,0.0605788461057473,0.49052384,1.6715885398406112
9948,0.2562753189668211,0.9603092,74.32652155141173
6925,0.1353131822534794,0.4509114,7.669883540564087
3342,0.3338157683124826,1.0489005,22.126955182712443
18109,0.3804681098984911,0.57020694,29.14708577998121
20141,0.2559066303886836,1.0266855,20.9366232137308
3608,0.3520281959197194,0.6388848,39.501736430965366
24402,0.3337054088980267,0.68063724,29.391430505166785
5065,0.1967618039920184,0.894861,18.88653532963396
28179,0.3624533638692221,1.2167931,11.12346018481598
